asof,S,r,q,T,K,type,mid,bid,ask,volume,openInterest,expiration
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,360.0,P,0.07500000000000001,0.07,0.08,295.0,289.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,362.5,P,0.08499999999999999,0.08,0.09,244.0,51.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,365.0,P,0.095,0.09,0.1,739.0,727.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,367.5,P,0.095,0.09,0.1,174.0,466.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,370.0,P,0.10500000000000001,0.1,0.11,903.0,651.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,372.5,P,0.11499999999999999,0.11,0.12,158.0,463.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,375.0,P,0.135,0.13,0.14,1463.0,709.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,377.5,P,0.14500000000000002,0.14,0.15,647.0,1039.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,380.0,P,0.165,0.16,0.17,1615.0,1180.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,382.5,P,0.185,0.18,0.19,729.0,524.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,385.0,P,0.215,0.21,0.22,2176.0,714.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,387.5,P,0.255,0.25,0.26,1263.0,1061.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,390.0,P,0.305,0.3,0.31,3925.0,3306.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,392.5,P,0.385,0.38,0.39,6853.0,570.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,395.0,P,0.495,0.49,0.5,7073.0,1881.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,397.5,P,0.655,0.65,0.66,4137.0,652.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,400.0,P,0.9,0.89,0.91,18182.0,3352.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,402.5,P,1.245,1.24,1.25,6043.0,871.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,405.0,P,1.71,1.68,1.74,20004.0,2128.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,407.5,P,2.335,2.33,2.34,15679.0,519.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,410.0,P,3.175,3.15,3.2,26452.0,1782.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,412.5,P,4.225,4.2,4.25,10292.0,1061.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,415.0,P,5.625,5.55,5.7,6367.0,1986.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,417.5,P,7.25,7.15,7.35,1395.0,285.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,420.0,P,9.05,8.85,9.25,7617.0,981.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,422.5,P,11.325,11.0,11.65,449.0,396.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,425.0,P,13.425,13.15,13.7,1471.0,291.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,427.5,P,15.75,15.35,16.15,47.0,342.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,430.0,P,18.125,17.75,18.5,3048.0,234.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,432.5,P,20.625,20.3,20.95,20.0,102.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,435.0,P,23.1,22.6,23.6,223.0,229.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,437.5,P,25.675,25.05,26.3,5.0,64.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,440.0,P,28.025,27.65,28.4,300.0,127.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,442.5,P,30.675,30.05,31.3,3.0,5.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,445.0,P,33.150000000000006,32.45,33.85,9.0,1.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,447.5,P,35.650000000000006,34.95,36.35,8.0,6.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,450.0,P,38.125,37.5,38.75,11.0,20.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,452.5,P,40.625,39.95,41.3,1.0,0.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,455.0,P,43.150000000000006,42.45,43.85,4.0,0.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,457.5,P,45.650000000000006,44.95,46.35,5.0,0.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,460.0,P,48.150000000000006,47.45,48.85,2.0,0.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,462.5,P,50.650000000000006,49.95,51.35,,0.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,467.5,P,55.650000000000006,54.95,56.35,,0.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,470.0,P,58.150000000000006,57.45,58.85,10.0,0.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,475.0,P,63.15,62.5,63.8,2.0,0.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,357.5,C,54.75,53.55,55.95,2.0,2.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,365.0,C,47.325,46.3,48.35,4.0,3.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,372.5,C,39.85,39.0,40.7,35.0,45.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,375.0,C,37.45,36.75,38.15,5.0,4.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,377.5,C,35.05,34.5,35.6,1.0,51.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,380.0,C,32.575,32.1,33.05,124.0,33.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,385.0,C,27.875,27.45,28.3,10.0,23.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,387.5,C,25.45,25.0,25.9,20.0,23.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,390.0,C,23.275,23.05,23.5,1298.0,51.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,392.5,C,21.0,20.5,21.5,116.0,170.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,395.0,C,18.85,18.55,19.15,279.0,102.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,397.5,C,16.675,16.6,16.75,242.0,215.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,400.0,C,14.675,14.6,14.75,780.0,441.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,402.5,C,12.75,12.7,12.8,290.0,287.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,405.0,C,10.925,10.85,11.0,1723.0,641.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,407.5,C,9.25,9.2,9.3,1728.0,482.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,410.0,C,7.7,7.65,7.75,5566.0,950.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,412.5,C,6.3,6.25,6.35,3340.0,499.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,415.0,C,5.1,5.05,5.15,4433.0,418.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,417.5,C,4.025,4.0,4.05,1182.0,407.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,420.0,C,3.125,3.1,3.15,4320.0,695.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,422.5,C,2.395,2.39,2.4,2740.0,291.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,425.0,C,1.795,1.79,1.8,5355.0,924.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,427.5,C,1.3250000000000002,1.32,1.33,1075.0,732.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,430.0,C,0.965,0.96,0.97,4656.0,1653.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,432.5,C,0.695,0.69,0.7,756.0,424.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,435.0,C,0.505,0.5,0.51,1471.0,900.0,2026-02-25
2026-02-21,411.82000732421875,0.03,0.0,0.009119997473490614,437.5,C,0.365,0.36,0.37,358.0,458.0,2026-02-25
